Date,Species,Rep,Trial ,Sed (1=yes),Clam_Number,Length (siphon to foot),Width (hinge up),Did not bury,Consumed (1= consumed)
25-Jun-22,VC,1,1,1,1,39,31,,0
27-Jun-22,VC,1,2,1,1,29,22,,0
27-Jun-22,VC,1,2,1,2,35,29,,0
25-Jun-22,VC,1,3,1,1,39,32,,0
25-Jun-22,VC,1,3,1,2,27,23,,0
25-Jun-22,VC,1,3,1,3,36,30,,0
25-Jun-22,VC,1,3,1,4,34,29,,0
27-Jun-22,VC,1,4,1,1,38,31,,0
27-Jun-22,VC,1,4,1,2,30,23,,0
27-Jun-22,VC,1,4,1,3,33,27,,0
27-Jun-22,VC,1,4,1,4,31,25,,0
27-Jun-22,VC,1,4,1,5,39,32,,0
27-Jun-22,VC,1,4,1,6,26,21,,0
27-Jun-22,VC,1,5,1,1,29,24,,0
27-Jun-22,VC,1,5,1,2,28,23,,0
27-Jun-22,VC,1,5,1,3,34,27,,1
27-Jun-22,VC,1,5,1,4,33,28,,0
27-Jun-22,VC,1,5,1,5,40,32,,1
27-Jun-22,VC,1,5,1,6,38,30,,0
27-Jun-22,VC,1,5,1,7,31,25,,0
27-Jun-22,VC,1,5,1,8,31,24,,0
27-Jun-22,VC,1,5,1,9,34,29,,0
27-Jun-22,VC,1,5,1,10,32,27,,0
25-Jun-22,VC,1,6,1,1,34,26,1,NA
25-Jun-22,VC,1,6,1,2,38,33,,0
25-Jun-22,VC,1,6,1,3,31,26,1,NA
25-Jun-22,VC,1,6,1,4,35,30,1,NA
25-Jun-22,VC,1,6,1,5,39,34,,0
25-Jun-22,VC,1,6,1,6,32,26,,1
25-Jun-22,VC,1,6,1,7,29,23,,1
25-Jun-22,VC,1,6,1,8,30,24,1,NA
25-Jun-22,VC,1,6,1,9,40,33,,0
25-Jun-22,VC,1,6,1,10,32,25,,0
25-Jun-22,VC,1,6,1,11,35,28,,0
25-Jun-22,VC,1,6,1,12,35,28,,0
25-Jun-22,VC,1,6,1,13,29,21,,0
25-Jun-22,VC,1,6,1,14,32,24,,0
25-Jun-22,VC,1,6,1,15,32,24,,1
25-Jun-22,VC,1,6,1,16,34,30,1,NA
25-Jun-22,VC,1,1,0,1,38,34,1,NA
27-Jun-22,VC,1,2,0,1,30,25,,0
27-Jun-22,VC,1,2,0,2,39,32,,1
25-Jun-22,VC,1,3,0,1,37,32,,1
25-Jun-22,VC,1,3,0,2,28,22,,1
25-Jun-22,VC,1,3,0,3,34,27,,0
25-Jun-22,VC,1,3,0,4,26,21,,1
27-Jun-22,VC,1,4,0,1,36,30,,1
27-Jun-22,VC,1,4,0,2,40,32,,1
27-Jun-22,VC,1,4,0,3,31,26,,1
27-Jun-22,VC,1,4,0,4,30,24,,1
27-Jun-22,VC,1,4,0,5,35,28,,0
27-Jun-22,VC,1,4,0,6,40,32,,1
27-Jun-22,VC,1,5,0,1,37,31,,1
27-Jun-22,VC,1,5,0,2,34,27,,0
